ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YJL163C,None,-,-,0.25,0
YJL164C,Both,4.32E+03,-,0.73,0
YJL165C,None,-,-,0.81,0
YJL166W,Both,6.14E+03,-,0.42,0
YJL167W,TAP,%,-,0.76,0
YJL168C,Both,2.17E+02,-,0.78,0
YJL169W,GFP,-,-,0.5,0
YJL170C,None,-,-,0.29,0
YJL171C,Both,5.53E+03,-,0.6,0
YJL172W,TAP,7.21E+02,-,0.79,0
YJL173C,Both,4.28E+03,-,0.52,0
YJL174W,None,-,-,0.43,0
YJL175W,None,-,-,0.2,0
YJL176C,Both,3.15E+03,-,0.83,0
YJL177W,Both,2.11E+04,-,0.59,0
YJL178C,Both,8.97E+03,-,0.51,0
YJL179W,Both,7.21E+02,-,0.64,0
YJL180C,Both,6.37E+03,-,0.55,0
YJL181W,None,-,-,0.56,0
YJL182C,None,-,-,0,1
YJL183W,Both,3.48E+03,-,0.74,0
YJL184W,TAP,2.18E+03,-,0.44,0
YJL185C,None,-,-,0.43,0
YJL186W,Both,1.14E+04,-,0.69,0
YJL187C,None,-,-,0.75,0
YJL188C,None,-,-,0.2,1
YJL189W,None,-,-,0.3,0
YJL190C,Both,4.04E+04,-,0.6,0
YJL191W,Both,3.37E+03,-,0.55,0
YJL192C,Both,1.17E+04,-,0.58,0
YJL193W,None,-,-,0.26,0
YJL194W,GFP,-,-,0.6,0
YJL195C,None,-,-,0.34,0
YJL196C,Both,9.37E+02,-,0.29,0
YJL197W,Both,7.11E+03,-,0.81,0
YJL198W,Both,3.43E+03,-,0.73,0
YJL199C,TAP,%,-,0.2,0
YJL200C,Both,4.67E+03,-,0.84,0
YJL201W,Both,1.75E+03,-,0.64,0
YJL202C,None,-,-,0.03,1
YJL203W,Both,2.49E+03,-,0.66,0
YJL204C,Both,2.70E+03,-,0.7,0
YJL205C-A,TAP,%,-,0.04,0
YJL206C,None,-,-,0.71,0
YJL207C,Both,3.00E+02,-,0.76,0
YJL208C,Both,3.87E+03,-,0.7,0
YJL209W,Both,2.18E+03,-,0.6,0
YJL210W,Both,3.39E+02,-,0.04,0
YJL211C,None,-,-,-0.04,1
YJL212C,Both,2.87E+03,-,0.51,0
YJL213W,None,-,-,0.6,0
YJL214W,TAP,6.23E+02,-,0.59,0
YJL215C,None,-,-,0.12,1
YJL216C,None,-,-,0.77,0
YJL217W,Both,7.21E+02,-,0.37,0
YJL218W,None,-,-,0.46,0
YJL219W,None,-,-,0.46,0
YJL220W,None,-,-,-0.05,1
YJL221C,None,-,-,0.75,0
YJL222W,Both,2.79E+02,-,0.8,0
YJL223C,None,-,-,0.48,0
YJL225C,None,-,-,0.53,0
YJR001W,TAP,1.82E+03,-,0.5,0
YJR002W,None,-,-,0.81,0
YJR003C,Both,3.28E+03,-,0.67,0
YJR004C,None,-,-,0.48,0
YJR005W,Both,1.67E+03,-,0.7,0
YJR006W,Both,6.26E+02,9.52E+01,0.7,0
YJR007W,Both,1.71E+04,-,0.77,0
YJR008W,Both,3.39E+02,-,0.64,0
YJR009C,Both,1.21E+05,-,0.6,0
YJR010C-A,Both,5.55E+03,-,0.22,0
YJR010W,Both,1.51E+03,-,0.76,0
YJR011C,Both,2.56E+03,-,0.51,0
YJR012C,TAP,5.38E+02,-,0.57,0
YJR013W,Both,%,-,0.2,0
YJR014W,Both,2.16E+04,-,0.67,0
YJR015W,Both,6.39E+02,-,0.54,0
YJR016C,Both,1.71E+05,3.80E+04,0.67,0
YJR017C,Both,4.40E+03,-,0.26,0
YJR018W,None,-,-,-0.14,1
YJR019C,None,-,-,0.17,0
YJR020W,None,-,-,0.14,1
YJR021C,None,-,-,0.46,0
YJR022W,Both,1.44E+03,-,0.4,0
YJR023C,None,-,-,-0.06,1
YJR024C,Both,9.52E+02,-,0.46,0
YJR025C,Both,2.33E+03,-,0.53,0
YJR030C,None,-,-,0.52,0
YJR031C,Both,2.94E+03,-,0.81,0
YJR032W,Both,3.23E+03,-,0.79,0
YJR033C,Both,1.49E+02,-,0.82,0
YJR034W,None,-,-,0.36,0
YJR035W,Both,%,-,0.77,0
YJR036C,None,-,-,0.54,0
YJR037W,None,-,-,0.34,0
YJR038C,None,-,-,-0.02,1
YJR039W,None,-,-,0.74,0
YJR040W,None,-,-,0.68,0
YJR041C,Both,1.66E+03,-,0.72,0
YJR042W,Both,7.92E+03,1.55E+02,0.76,0
YJR043C,Both,2.41E+03,-,0.68,0
YJR044C,Both,2.34E+03,-,0.28,0
YJR045C,None,-,-,0.75,0
YJR046W,Both,2.19E+03,-,0.53,0
YJR047C,Both,1.42E+04,-,0.7,0
YJR048W,Both,7.33E+03,-,0.62,0
YJR049C,Both,5.04E+03,-,0.75,0
YJR050W,Both,1.99E+03,-,0.57,0
YJR051W,Both,4.32E+02,-,0.75,0
YJR052W,Both,9.37E+02,-,0.76,0
YJR053W,Both,1.38E+03,-,0.8,0
YJR054W,Both,5.38E+02,-,0.67,0
YJR055W,Both,2.73E+03,-,0.5,0
YJR056C,Both,1.89E+03,-,0.48,0
YJR057W,Both,2.98E+03,-,0.66,0
YJR058C,Both,1.39E+03,-,0.24,0
YJR059W,Both,1.42E+03,-,0.72,0
YJR060W,Both,6.89E+03,-,0.69,0
YJR061W,None,-,-,0.76,0
YJR062C,Both,1.64E+03,-,0.76,0
YJR063W,Both,8.45E+03,-,0.56,0
YJR064W,None,-,-,0.85,0
YJR065C,TAP,6.65E+03,-,0.74,0
YJR066W,TAP,5.89E+02,-,0.86,0
YJR067C,Both,1.50E+03,-,0.62,0
YJR068W,Both,4.61E+03,2.62E+02,0.77,0
YJR069C,Both,3.49E+03,-,0.72,0
YJR070C,Both,3.99E+04,-,0.71,0
YJR071W,None,-,-,0.15,1
YJR072C,Both,1.52E+04,-,0.7,0
YJR073C,Both,5.89E+03,-,0.32,0
YJR074W,Both,2.84E+03,-,0.55,0
YJR075W,Both,7.16E+03,-,0.67,0
YJR076C,Both,9.28E+03,-,0.69,0
YJR077C,GFP,-,-,0.51,0
YJR078W,TAP,1.49E+02,-,0.46,0
YJR079W,TAP,9.07E+02,-,0.44,0
YJR080C,Both,2.29E+03,-,0.55,0
YJR082C,Both,5.04E+02,-,0.42,0
YJR083C,Both,1.14E+03,-,0.49,0
YJR084W,Both,1.51E+03,-,0.37,0
YJR085C,Both,2.10E+03,-,0.29,0
YJR086W,Both,5.55E+03,-,0.32,0
YJR087W,None,-,-,0.11,1
YJR088C,Both,5.74E+03,-,0.65,0
YJR089W,GFP,-,-,0.76,0
YJR090C,None,-,-,0.58,0
YJR091C,Both,7.84E+02,-,0.58,0
YJR092W,Both,1.60E+03,-,0.82,0
YJR093C,TAP,1.31E+03,1.25E+02,0.64,0
YJR094C,None,-,-,0.62,0
YJR094W-A,Both,4.55E+04,-,0.46,0
YJR095W,None,-,-,0.64,0
YJR096W,Both,6.96E+03,-,0.69,0
YJR097W,Both,2.01E+03,-,0.46,0
YJR098C,Both,1.23E+03,-,0.83,0
YJR099W,None,-,-,0.63,0
YJR100C,None,-,-,0.49,0
YJR101W,Both,2.06E+03,-,0.47,0
YJR102C,None,-,-,0.47,0
YJR103W,Both,5.37E+03,-,0.63,0
YJR104C,Both,5.19E+05,-,0.57,0
YJR105W,Both,2.22E+04,-,0.67,0
YJR106W,None,-,-,0.39,0
YJR107W,None,-,-,0.6,0
YJR108W,None,-,-,0.28,0
YJR109C,Both,1.80E+04,-,0.89,0
YJR110W,Both,1.08E+03,-,0.68,0
YJR111C,Both,1.89E+03,-,0.53,0
YJR112W,Both,2.07E+03,-,0.3,0
YJR113C,Both,1.34E+03,-,0.35,0
YJR114W,None,-,-,0.17,1
YJR115W,None,-,-,0.07,1
YJR116W,Both,#,-,0.07,0
YJR117W,Both,1.96E+04,-,0.58,0
YJR118C,Both,1.16E+03,-,0.67,0
YJR119C,Both,2.90E+02,-,0.65,0
YJR120W,None,-,-,-0.16,1
YJR121W,Both,1.64E+05,-,0.68,0
YJR122W,Both,2.96E+03,-,0.71,0
YJR123W,None,-,-,0.64,0
YJR124C,None,-,-,0.47,0
YJR125C,None,-,-,0.82,0
YJR126C,TAP,1.12E+02,-,0.77,0
YJR127C,Both,#,-,0.63,0
YJR128W,None,-,-,-0.26,1
YJR129C,Both,1.55E+03,-,0.48,0
YJR130C,Both,2.07E+03,-,0.76,0
YJR131W,Both,8.26E+03,-,0.62,0
YJR132W,Both,1.35E+04,-,0.8,0
YJR133W,Both,7.21E+02,-,0.74,0
YJR134C,Both,3.00E+02,-,0.75,0
YJR135C,Both,1.03E+03,-,0.54,0
YJR135W-A,None,-,-,0.37,0
YJR136C,Both,1.47E+03,-,0.44,0
YJR137C,Both,2.90E+03,-,0.89,0
YJR138W,Both,2.79E+02,-,0.82,0
YJR139C,Both,4.89E+04,-,0.71,0
YJR140C,Both,9.22E+02,-,0.81,0
YJR141W,None,-,-,0.55,0
YJR142W,TAP,2.17E+02,-,0.68,0
YJR143C,Both,1.27E+03,-,0.65,0
YJR144W,None,-,-,0.54,0
YJR145C,Both,5.73E+02,-,0.56,0
YJR146W,Both,9.52E+02,-,-0.02,0
YJR147W,Both,2.05E+03,-,0.22,0
YJR148W,Both,2.59E+04,-,0.7,0
YJR149W,Both,1.72E+02,-,0.67,0
YJR150C,None,-,-,0.49,0
YJR151C,None,-,-,0.24,0
YJR152W,None,-,-,0.66,0
YJR153W,None,-,-,0.42,0
YJR154W,Both,1.60E+03,-,0.54,0
YJR155W,None,-,-,0.63,0
YJR156C,TAP,7.52E+02,-,0.67,0
YJR157W,None,-,-,0.07,1
YJR158W,None,-,-,0.57,0
YJR159W,None,-,-,0.62,0
YJR160C,None,-,-,0.59,0
YJR161C,Both,8.15E+02,-,0.4,0
YJR162C,None,-,-,-0.06,1
YKL001C,Both,2.17E+03,-,0.69,0
YKL002W,GFP,-,-,0.65,0
YKL003C,GFP,-,-,0.43,0
YKL003W-A,None,-,-,-,0
YKL004W,Both,4.17E+03,-,0.44,0
YKL005C,TAP,8.92E+02,-,0.76,0
YKL006C-A,Both,%,-,0.28,0
YKL006W,Both,4.53E+04,-,0.49,0
YKL007W,Both,4.38E+03,-,0.67,0
YKL008C,Both,2.84E+03,-,0.59,0
YKL009W,Both,1.82E+04,-,0.75,0
YKL010C,Both,7.38E+03,-,0.8,0
YKL011C,Both,%,-,0.54,0
YKL012W,Both,%,-,0.7,0
YKL013C,Both,9.02E+03,-,0.46,0
YKL014C,Both,5.89E+03,-,0.8,0
YKL015W,Both,7.36E+02,-,0.79,0
YKL016C,Both,6.82E+03,-,0.71,0
YKL017C,Both,1.04E+03,-,0.79,0
YKL018C-A,Both,3.58E+02,-,0.05,0
YKL018W,TAP,7.04E+02,-,0.58,0
YKL019W,Both,3.96E+02,-,0.42,0
YKL020C,Both,4.32E+02,-,0.61,0
YKL021C,Both,3.73E+03,-,0.81,0
YKL022C,Both,2.75E+03,6.51E+02,0.73,0
YKL023W,Both,1.73E+03,-,0.6,0
YKL024C,Both,1.50E+03,-,0.54,0
YKL025C,Both,1.60E+03,-,0.62,0
YKL026C,Both,%,-,0.43,0
YKL027W,Both,1.17E+03,-,0.74,0
YKL028W,Both,3.59E+04,4.11E+03,0.84,0
YKL029C,Both,1.05E+04,-,0.68,0
YKL030W,None,-,-,-0.14,1
YKL031W,None,-,-,0.2,1
YKL032C,Both,%,-,0.37,0
YKL033W,Both,7.21E+02,-,0.69,0
YKL033W-A,None,-,-,0.32,0
YKL034W,None,-,-,0.54,0
YKL035W,Both,1.72E+04,-,0.75,0
YKL036C,None,-,-,0.1,1
YKL037W,None,-,-,-0.16,1
YKL038W,Both,1.95E+02,-,0.64,0
YKL039W,None,-,-,0.58,0
YKL040C,Both,1.13E+04,-,0.76,0
YKL041W,Both,1.89E+03,-,0.63,0
YKL042W,GFP,-,-,0.54,0
YKL043W,Both,1.42E+03,-,0.52,0
YKL044W,None,-,-,0,1
YKL045W,None,-,-,0.56,0
YKL046C,Both,2.58E+03,-,0.55,0
YKL047W,Both,2.55E+03,-,0.71,0
YKL048C,Both,1.49E+02,-,0.62,0
YKL049C,GFP,-,-,0.33,0
YKL050C,None,-,-,0.84,0
YKL051W,Both,#,-,0.35,0
YKL052C,Both,2.84E+03,-,0.46,0
YKL053C-A,Both,3.87E+03,-,0.44,0
YKL053W,None,-,-,-0.26,1
YKL054C,Both,3.38E+03,-,0.52,0
YKL055C,Both,1.76E+03,-,0.63,0
YKL056C,Both,2.78E+04,-,0.71,0
YKL057C,None,-,-,0.68,0
YKL058W,Both,3.91E+03,-,0.27,0
YKL059C,Both,1.13E+03,-,0.72,0
YKL060C,Both,1.02E+06,3.58E+05,0.62,0
YKL061W,Both,1.24E+03,-,0.59,0
YKL062W,None,-,-,0.63,0
YKL063C,Both,2.19E+03,-,0.7,0
YKL064W,Both,2.59E+02,-,0.76,0
YKL065C,Both,7.21E+03,-,0.5,0
YKL066W,None,-,-,0.18,1
YKL067W,Both,7.13E+03,-,0.69,0
YKL068W,Both,3.58E+02,-,0.37,0
YKL069W,Both,2.61E+03,-,0.62,0
YKL070W,None,-,-,0.43,0
YKL071W,GFP,-,-,0.54,0
YKL072W,Both,2.11E+02,-,0.74,0
YKL073W,Both,1.37E+02,-,0.86,0
YKL074C,Both,4.17E+03,-,0.69,0
YKL075C,Both,9.89E+01,-,0.76,0
YKL076C,None,-,-,0.1,1
YKL077W,Both,6.06E+02,-,0.69,0
YKL078W,Both,7.21E+02,-,0.73,0
YKL079W,Both,1.92E+03,-,0.67,0
YKL080W,Both,2.11E+04,-,0.77,0
YKL081W,Both,1.02E+05,-,0.7,0
YKL082C,None,-,-,0.74,0
YKL083W,None,-,-,-0.06,1
YKL084W,None,-,-,0.16,1
YKL085W,Both,2.81E+04,-,0.73,0
YKL086W,Both,5.38E+02,-,0.04,0
YKL087C,None,-,-,0.52,0
YKL088W,Both,2.94E+03,-,0.73,0
YKL089W,Both,4.65E+02,3.81E+01,0.76,0
YKL090W,None,-,-,0.68,0
YKL091C,Both,2.87E+03,-,0.74,0
YKL092C,Both,1.23E+03,-,0.74,0
YKL093W,None,-,-,0.49,0
YKL094W,Both,2.14E+03,-,0.57,0
YKL095W,Both,2.25E+03,-,0.62,0
YKL096W,Both,2.06E+03,-,0.58,0
YKL096W-a,TAP,1.59E+06,-,-,0
YKL097C,None,-,-,-0.17,1
YKL098W,None,-,-,0.47,0
YKL099C,None,-,-,0.6,0
YKL100C,None,-,-,0.68,0
YKL101W,Both,%,-,0.76,0
YKL102C,GFP,-,-,0.11,0
YKL103C,Both,5.73E+03,-,0.78,0
YKL104C,TAP,1.43E+04,3.40E+03,0.79,0
YKL105C,Both,5.38E+02,-,0.74,0
YKL106C-A,None,-,-,-0.22,1
YKL106W,Both,2.91E+03,-,0.64,0
YKL107W,None,-,-,0.63,0
YKL108W,Both,6.56E+02,-,0.67,0
YKL109W,None,-,-,0.75,0
YKL110C,Both,5.26E+03,-,0.54,0
YKL111C,None,-,-,-0.02,1
YKL112W,Both,4.82E+03,5.59E+02,0.67,0
YKL113C,Both,6.12E+03,-,0.8,0
YKL114C,Both,7.25E+03,-,0.8,0
YKL115C,None,-,-,0.17,1
YKL116C,Both,1.51E+03,-,0.62,0
YKL117W,Both,3.37E+04,-,0.78,0
YKL118W,None,-,-,-0.01,1
YKL119C,Both,2.03E+03,-,0.49,0
YKL120W,Both,5.35E+03,-,0.61,0
YKL121W,TAP,5.04E+02,-,0.61,0
YKL122C,Both,3.40E+03,-,0.52,0
YKL123W,None,-,-,0.07,1
YKL124W,TAP,4.50E+02,-,0.78,0
YKL125W,Both,1.38E+02,2.95E+01,0.74,0
YKL126W,Both,2.95E+03,-,0.78,0
YKL127W,Both,9.82E+03,-,0.75,0
YKL128C,Both,3.25E+03,-,0.57,0
YKL129C,Both,1.55E+02,-,0.81,0
YKL130C,Both,4.07E+03,-,0.66,0
YKL131W,None,-,-,0.05,1
YKL132C,None,-,-,0.54,0
YKL133C,None,-,-,0.66,0
YKL134C,Both,2.69E+03,-,0.8,0
YKL135C,Both,2.69E+03,-,0.78,0
YKL136W,None,-,-,0.19,1
YKL137W,TAP,2.59E+02,-,0.42,0
YKL138C,Both,2.12E+03,-,0.48,0
YKL139W,Both,1.25E+02,-,0.57,0
YKL140W,Both,1.47E+03,-,0.74,0
YKL141W,TAP,2.38E+02,-,0.47,0
YKL142W,Both,1.55E+03,-,0.78,0
YKL143W,Both,5.89E+02,-,0.81,0
YKL144C,TAP,7.52E+02,-,0.66,0
YKL145W,Both,1.05E+02,-,0.77,0
YKL146W,GFP,-,-,0.39,0
YKL147C,None,-,-,-0.05,1
YKL148C,TAP,1.04E+04,-,0.67,0
YKL149C,Both,1.13E+03,-,0.61,0
YKL150W,Both,1.92E+03,-,0.69,0
YKL151C,Both,3.87E+03,-,0.59,0
YKL152C,Both,1.72E+05,-,0.68,0
YKL153W,None,-,-,0.16,0
YKL154W,Both,8.25E+03,-,0.68,0
YKL155C,Both,1.90E+03,-,0.72,0
YKL156W,Both,4.33E+04,-,0.41,0
YKL157W,Both,2.91E+03,-,0.82,0
YKL159C,TAP,5.21E+02,-,0.52,0
YKL160W,Both,5.86E+03,-,0.55,0
YKL161C,None,-,-,0.65,0
YKL162C,Both,1.10E+03,-,0.42,0
YKL162C-A,None,-,-,0.11,1
YKL163W,None,-,-,0.52,0
YKL164C,Both,1.17E+03,-,0.51,0
YKL165C,Both,#,-,0.63,0
YKL165C-A,None,-,-,-0.03,1
YKL166C,Both,1.59E+03,-,0.69,0
YKL167C,GFP,-,-,0.54,0
YKL168C,Both,9.81E+02,-,0.67,0
YKL169C,GFP,-,-,-0.04,0
YKL170W,Both,2.46E+03,-,0.35,0
YKL171W,None,-,-,0.68,0
YKL172W,None,-,-,0.81,0
YKL173W,Both,3.00E+02,-,0.79,0
YKL174C,None,-,-,0.55,0
YKL175W,GFP,-,-,0.47,0
YKL176C,Both,%,-,0.55,0
YKL177W,None,-,-,0.19,1
YKL178C,None,-,-,0.53,0
YKL179C,Both,2.65E+03,-,0.74,0
YKL180W,GFP,-,-,0.55,0
YKL181W,Both,1.17E+04,-,0.75,0
YKL182W,Both,9.18E+04,-,0.81,0
YKL183W,Both,5.93E+03,-,0.43,0
YKL184W,Both,6.88E+02,-,0.77,0
YKL185W,Both,1.80E+03,-,0.36,0
YKL186C,GFP,-,-,0.3,0
YKL187C,GFP,-,-,0.49,0
YKL188C,None,-,-,0.71,0
YKL189W,Both,1.28E+03,-,0.69,0
YKL190W,Both,%,-,0.62,0
YKL191W,Both,3.49E+03,-,0.57,0
YKL192C,Both,6.05E+04,-,0.45,0
YKL193C,Both,3.87E+03,2.54E+02,0.61,0
YKL194C,Both,1.24E+03,-,0.76,0
YKL195W,Both,5.04E+03,-,0.83,0
YKL196C,None,-,-,0.71,0
YKL197C,Both,2.10E+03,-,0.79,0
YKL198C,None,-,-,0.2,0
YKL199C,None,-,-,0.14,0
YKL201C,None,-,-,0.74,0
YKL202W,None,-,-,0.04,1
YKL203C,None,-,-,0.88,0
YKL204W,Both,3.24E+03,-,0.58,0
YKL205W,Both,3.49E+03,-,0.64,0
YKL206C,Both,2.94E+03,-,0.43,0
YKL207W,None,-,-,0.39,0
YKL208W,Both,%,-,0.41,0
YKL209C,Both,#,-,0.68,0
YKL210W,Both,1.77E+04,-,0.9,0
YKL211C,Both,1.34E+04,-,0.76,0
YKL212W,Both,4.80E+04,-,0.79,0
YKL213C,Both,6.80E+03,-,0.78,0
YKL214C,Both,1.31E+03,-,0.51,0
YKL215C,Both,3.18E+03,-,0.72,0
YKL216W,Both,2.64E+05,-,0.74,0
YKL217W,None,-,-,0.71,0
YKL218C,None,-,-,0.48,0
YKL219W,None,-,-,0.39,0
YKL220C,TAP,%,-,0.52,0
YKL221W,None,-,-,0.3,0
YKL222C,Both,%,-,0.63,0
YKL223W,None,-,-,-0.13,1
YKL224C,TAP,#,-,0.51,0
YKL225W,None,-,-,-0.13,1
YKR001C,Both,5.96E+03,-,0.86,0
YKR002W,Both,1.71E+04,3.38E+03,0.85,0
YKR003W,Both,2.55E+03,-,0.72,0
YKR004C,TAP,8.46E+02,-,0.4,0
YKR005C,None,-,-,0.77,0
YKR006C,Both,1.36E+03,-,0.67,0
YKR007W,Both,2.74E+03,-,0.5,0
YKR008W,Both,8.57E+03,9.55E+02,0.84,0
YKR009C,None,-,-,0.78,0
YKR010C,Both,3.39E+02,-,0.68,0
YKR011C,Both,3.15E+03,-,0.71,0
YKR012C,None,-,-,0.11,1
YKR013W,GFP,-,-,0.47,0
YKR014C,Both,9.38E+03,-,0.79,0
YKR015C,None,-,-,0.69,0
YKR016W,Both,5.73E+03,-,0.73,0
YKR017C,TAP,2.25E+03,-,0.63,0
YKR018C,Both,1.77E+03,-,0.82,0
YKR019C,None,-,-,0.54,0
YKR020W,Both,3.19E+02,-,0.62,0
YKR021W,Both,4.14E+02,-,0.7,0
YKR022C,Both,8.92E+02,-,0.69,0
YKR023W,Both,1.71E+03,-,0.79,0
YKR024C,Both,1.46E+03,-,0.82,0
YKR025W,Both,1.59E+03,-,0.75,0
YKR026C,Both,8.97E+03,-,0.66,0
YKR027W,Both,2.54E+03,-,0.69,0
YKR028W,None,-,-,0.81,0
YKR029C,Both,6.23E+02,-,0.67,0
YKR030W,None,-,-,0.25,0
YKR031C,Both,4.92E+01,-,0.81,0
YKR032W,None,-,-,-0.12,1
YKR033C,None,-,-,0.09,1
YKR034W,None,-,-,0.46,0
YKR035C,None,-,-,0.09,0
YKR035W-A,Both,2.44E+03,-,0.62,0
YKR036C,Both,5.89E+02,-,0.72,0
YKR037C,Both,#,-,0.7,0
YKR038C,Both,1.27E+03,-,0.55,0
YKR039W,GFP,-,-,0.61,0
YKR040C,None,-,-,0.14,1
YKR041W,Both,2.17E+02,-,0.39,0
YKR042W,Both,5.69E+04,-,0.49,0
YKR043C,Both,1.15E+04,-,0.55,0
YKR044W,Both,3.19E+02,-,0.43,0
YKR045C,Both,%,-,0.13,0
YKR046C,Both,2.16E+03,-,0.53,0
YKR047W,None,-,-,-0.33,1
YKR048C,Both,8.07E+03,-,0.51,0
YKR049C,Both,1.24E+03,-,0.11,0
YKR050W,None,-,-,0.5,0
YKR051W,None,-,-,0.38,0
YKR052C,Both,1.34E+03,-,0.52,0
YKR053C,None,-,-,0.35,0
YKR054C,Both,1.95E+02,-,0.84,0
YKR055W,GFP,-,-,0.53,0
YKR056W,None,-,-,0.81,0
YKR057W,Both,2.74E+04,-,0.59,0
YKR058W,None,-,-,0.72,0
YKR059W,Both,1.06E+05,-,0.7,0
YKR060W,Both,3.06E+03,-,0.54,0
YKR061W,None,-,-,0.59,0
YKR062W,Both,1.15E+03,2.18E+02,0.76,0
YKR063C,Both,6.47E+02,4.70E+01,0.6,0
YKR064W,Both,1.49E+02,-,0.62,0
YKR065C,Both,3.00E+03,-,0.58,0
YKR066C,Both,6.73E+03,-,0.53,0
YKR067W,Both,3.10E+03,-,0.76,0
YKR068C,Both,2.37E+03,-,0.49,0
YKR069W,None,-,-,0.7,0
YKR070W,Both,3.87E+03,-,0.69,0
YKR071C,Both,1.05E+03,-,0.8,0
YKR072C,Both,3.75E+03,-,0.72,0
YKR073C,None,-,-,-0.01,1
YKR074W,Both,1.23E+03,-,0.61,0
YKR075C,Both,1.96E+03,-,0.43,0
YKR076W,Both,1.67E+03,-,0.64,0
YKR077W,Both,8.61E+02,-,0.41,0
YKR078W,Both,1.27E+03,-,0.67,0
YKR079C,Both,2.71E+03,-,0.84,0
YKR080W,Both,1.62E+04,-,0.72,0
YKR081C,Both,3.24E+04,-,0.75,0
YKR082W,Both,3.06E+03,-,0.75,0
YKR083C,Both,2.79E+02,-,0.63,0
YKR084C,Both,2.75E+03,-,0.84,0
YKR085C,Both,3.58E+02,-,0.37,0
YKR086W,Both,1.25E+03,-,0.84,0
YKR087C,Both,#,-,0.58,0
YKR088C,Both,1.13E+04,-,0.64,0
YKR089C,Both,1.95E+02,-,0.75,0
YKR090W,Both,1.31E+03,-,0.7,0
YKR091W,None,-,-,0.37,0
YKR092C,Both,1.29E+04,-,0.38,0
YKR093W,Both,#,-,0.66,0
YKR094C,Both,2.82E+04,-,0.57,0
YKR095W,Both,2.71E+03,-,0.72,0
YKR096W,Both,1.95E+02,-,0.71,0
YKR097W,None,-,-,0.74,0
YKR098C,TAP,%,-,0.68,0
YKR099W,Both,8.61E+02,-,0.66,0
YKR100C,Both,#,-,0.63,0
YKR101W,None,-,-,0.58,0
YKR102W,None,-,-,0.34,0
YKR103W,Both,%,-,0.61,0
YKR104W,None,-,-,0.58,0
YKR105C,None,-,-,0.45,0
YKR106W,None,-,-,0.43,0
YLL001W,Both,9.62E+03,-,0.85,0
YLL002W,Both,1.14E+03,-,0.58,0
YLL003W,Both,%,-,0.59,0
YLL004W,None,-,-,0.66,0
YLL005C,None,-,-,0.42,0
YLL006W,Both,2.49E+03,-,0.72,0
YLL007C,Both,4.86E+02,-,0.63,0
YLL008W,GFP,-,-,0.89,0
YLL009C,GFP,-,-,0.44,0
YLL010C,Both,5.62E+03,-,0.55,0
YLL011W,Both,6.62E+03,1.62E+03,0.78,0
YLL012W,Both,7.77E+03,-,0.66,0
YLL013C,Both,8.46E+02,-,0.66,0
YLL014W,Both,%,-,0.2,0
YLL015W,Both,#,-,0.81,0
YLL016W,None,-,-,0.78,0
YLL017W,None,-,-,0.19,1
YLL018C,GFP,-,-,0.77,0
YLL018C-A,Both,5.75E+03,-,0.39,0
YLL019C,None,-,-,0.55,0
YLL020C,None,-,-,-0.09,1
YLL021W,TAP,2.74E+02,-,0.83,0
YLL022C,Both,4.55E+03,-,0.7,0
YLL023C,Both,1.68E+03,-,0.36,0
YLL024C,Both,3.64E+05,-,0.73,0
YLL025W,None,-,-,0.48,0
YLL026W,Both,3.28E+04,-,0.86,0
YLL027W,Both,1.25E+02,-,0.4,0
YLL028W,Both,1.47E+03,-,0.52,0
YLL029W,Both,3.24E+03,-,0.75,0
YLL030C,None,-,-,0.17,1
YLL031C,Both,3.00E+02,-,0.65,0
YLL032C,Both,9.22E+02,-,0.73,0
YLL033W,None,-,-,0.31,0
YLL034C,Both,4.49E+03,-,0.88,0
YLL035W,None,-,-,0.64,0
YLL036C,Both,1.17E+04,1.43E+03,0.69,0
YLL037W,None,-,-,0.06,1
YLL038C,Both,1.96E+03,-,0.24,0
YLL039C,GFP,-,-,0.63,0
YLL040C,Both,1.25E+02,-,0.94,0
YLL041C,Both,9.54E+03,-,0.56,0
YLL042C,None,-,-,0.4,0
YLL043W,Both,9.07E+02,-,0.71,0
YLL044W,None,-,-,0.1,1
YLL045C,Both,8.02E+04,-,0.58,0
YLL046C,None,-,-,0.61,0
YLL047W,None,-,-,0.09,1
YLL048C,Both,3.00E+03,-,0.85,0
YLL049W,None,-,-,0.48,0
YLL050C,TAP,1.96E+04,-,0.72,0
YLL051C,Both,%,-,0.33,0
YLL052C,Both,%,-,0.31,0
YLL053C,None,-,-,0.48,0
YLL054C,Both,3.39E+02,-,0.67,0
YLL055W,GFP,-,-,0.62,0
YLL056C,None,-,-,0.68,0
YLL057C,None,-,-,0.67,0
YLL058W,TAP,2.07E+03,-,0.58,0
YLL059C,None,-,-,0.03,1
YLL060C,Both,%,-,0.4,0
YLL061W,Both,%,-,0.43,0
YLL062C,Both,6.06E+02,-,0.64,0
YLL063C,None,-,-,0.57,0
YLL064C,None,-,-,0.48,0
YLL065W,None,-,-,-0.07,1
YLL066C,None,-,-,0.46,0
YLL067C,None,-,-,0.44,0
YLR001C,Both,2.06E+02,-,0.66,0
YLR002C,Both,1.17E+04,-,0.82,0
YLR003C,Both,1.20E+03,-,0.7,0
YLR004C,None,-,-,0.6,0
